docsrc	docsrc_name	description	status_action	region	province	printtype	mediatype	date_from	date_to	timeliness
1BUS	1Bus	"Das österreichische Magazin für Bus, Coach & Reise"	added_in_amc5	agesamt	-	fachmedium	print	2019-03-18	2026-05-11	
1CONSTRUCTION	1Construction	"Österreichisches Magazin für die Bauwirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2019-03-11	2026-03-16	
1TRANSPORTER	1Transporter	"Das Transporter Magazin"	added_in_amc5	agesamt	-	fachmedium	print	2019-04-29	2025-12-09	
1TRUCKMAG	1Truck	"Das Magazin für Transport Manager"	added_in_amc5	agesamt	-	fachmedium	print	2019-03-11	2026-05-14	
A3BAU	"a3 Das Baumagazin"	"Das Österreichische Baumagazin"	added_in_amc5	agesamt	-	fachmedium	print	1999-02-25	2026-06-25	
ABFORUM	"Architektur & Bau Forum"	"Fachmagazin für Architektur und Bau"	added_in_amc5	agesamt	-	fachmedium	print	2003-05-09	2020-12-21	eingestellt
ACADEMIA	Academia	"Artikel mit Titel und Trefferumgebung"	im_amc	agesamt	-	zeitschrift	print	2008-02-01	2026-05-29	
AERZTEWO	"Ärzte Woche"	"Österreichische Zeitung für Medizin"	added_in_amc5	agesamt	-	fachmedium	print	2010-11-18	2026-06-25	
APA	"APA-Meldungen digital"	APA-Basisdienst	im_amc	agesamt	-	-	agentur	1986-01-02	2026-06-30	
ARBEITW	"Arbeit & Wirtschaft"	"Die Zeitschrift von AK und ÖGB"	im_amc	agesamt	-	zeitschrift	print	2000-01-01	2026-06-18	
ATVVOLL	ATV	"Volltexttranskripte aus ausgewählten Informationssendungen"	im_amc	agesamt	-	-	av_transcript	2005-03-10	2020-07-04	eingestellt
AUBILDOE	"Auto Bild Österreich"	"Der Österreich-Teil der Auto BILD"	added_in_amc5	agesamt	-	zeitschrift	print	2012-09-28	2026-06-17	
AUGUSTIN	Augustin	"Artikel mit Titel und Trefferumgebung"	im_amc	aost	W	zeitschrift	print	2003-01-17	2026-06-17	
AUSINNOV	"Austria Innovativ"	"Österreichisches Magazin für Forschung und Technologie"	added_in_amc5	agesamt	-	fachmedium	print	2012-02-10	2026-06-15	
AUSTRIAEUROPE	"Austria - Europes Heart"	"Publikation zum Wirtschaftsstandort Österreich"	added_in_amc5	agesamt	-	fachmedium	print	2020-04-21	2026-02-25	
AUTLOOK	AUTlook	"Das österreichische Fachmagazin für Automatisierungstechnik"	added_in_amc5	agesamt	-	fachmedium	print	2019-05-03	2025-11-19	
AUTOAKT	AUTO-aktuell	"Auto, Tuning, Freizeit"	added_in_amc5	agesamt	-	zeitschrift	print	2007-03-01	2019-06-29	eingestellt
AUTOREVU	"Auto Revue"	"Österreichisches Automobilmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2012-08-24	2026-06-26	
AUTOSERVH	Autoservice	"Das Wirtschafts- und Technikmagazin für die Automobilbranche"	added_in_amc5	agesamt	-	fachmedium	print	2019-06-07	2026-06-10	
AUTOWIRT	"AUTO & Wirtschaft Österreich"	"Fachmagazin für die österreichische Automobilbranche"	added_in_amc5	agesamt	-	fachmedium	print	2006-01-01	2026-06-15	
BALLESTE	Ballesterer	"Österreichisches Fußballmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2013-07-16	2026-05-27	
BAUBLATT	"Baublatt Österreich"	"Magazin für Bau, Maschinen, Geräte und Technik"	added_in_amc5	agesamt	-	fachmedium	print	2012-06-12	2026-06-29	
BAUERNZT	"Österreichische Bauernzeitung"	"Wochenzeitung für den ländlichen Raum"	im_amc	agesamt	-	zeitung	print	2010-03-18	2026-06-25	
BAUREP	"Bau & Immobilienreport"	"Magazin für den Bau- und Immobilienmarkt"	added_in_amc5	agesamt	-	fachmedium	print	2000-03-06	2026-06-23	
